,parcelid,bedroomcnt,bathroomcnt,calculatedfinishedsquarefeet,taxvaluedollarcnt,taxamount,assessmentyear,regionidcounty,regionidzip,transactiondate
40,11969146,3.0,1.0,1716.0,44455.0,690.81,2016.0,3101.0,96046.0,2017-08-22
41,12178305,5.0,3.0,3048.0,1150000.0,12741.62,2016.0,3101.0,96330.0,2017-07-25
42,11289757,3.0,2.0,2092.0,217006.0,3221.12,2016.0,3101.0,97318.0,2017-08-30
43,11961462,2.0,1.0,1184.0,46336.0,603.88,2016.0,3101.0,96046.0,2017-08-23
44,12492881,3.0,2.0,1569.0,73054.0,1206.4,2016.0,3101.0,96242.0,2017-06-15
45,12285822,2.0,2.0,1069.0,44826.0,997.56,2016.0,3101.0,96091.0,2017-07-28
46,12519794,4.0,2.0,1382.0,185483.0,2414.53,2016.0,3101.0,96247.0,2017-08-16
47,14092694,3.0,2.0,1255.0,188730.0,2586.54,2016.0,1286.0,96990.0,2017-07-10
48,12749741,3.0,2.0,1285.0,82374.0,1315.15,2016.0,3101.0,96190.0,2017-05-31
49,11797465,2.0,1.0,865.0,280000.0,3458.73,2016.0,3101.0,96014.0,2017-08-08
50,11733550,4.0,1.0,1356.0,37019.0,532.7,2016.0,3101.0,95997.0,2017-08-18
51,10779619,3.0,3.0,2057.0,639607.0,2562.42,2016.0,3101.0,96349.0,2017-08-28
52,11917650,4.0,3.0,1502.0,257446.0,3366.73,2016.0,3101.0,96510.0,2017-08-11
53,14012730,4.0,1.5,1973.0,80102.0,1148.76,2016.0,1286.0,96180.0,2017-08-08
54,14430658,0.0,0.0,,5346951.0,82484.04,2016.0,1286.0,96961.0,2017-08-25
55,11830465,3.0,1.0,1308.0,219078.0,3108.41,2016.0,3101.0,96003.0,2017-08-17
56,17165634,6.0,2.0,2526.0,94344.0,1082.46,2016.0,2061.0,97104.0,2017-08-01
57,10811539,4.0,4.0,2806.0,708607.0,8760.58,2016.0,3101.0,96387.0,2017-08-30
58,12048224,3.0,1.0,1260.0,466127.0,5151.64,2016.0,3101.0,96327.0,2017-06-15
59,14010551,3.0,1.0,1934.0,382158.0,4781.2,2016.0,1286.0,97048.0,2017-08-11
60,12811794,2.0,1.0,959.0,66488.0,1246.35,2016.0,3101.0,96490.0,2017-07-21
61,12347492,3.0,2.0,1560.0,465101.0,5826.88,2016.0,3101.0,96208.0,2017-08-31
62,12941764,3.0,2.0,1353.0,246816.0,3378.03,2016.0,3101.0,96490.0,2017-08-09
63,10871677,3.0,1.0,1102.0,206623.0,2601.94,2016.0,3101.0,96450.0,2017-06-01
64,14257065,2.0,1.5,1080.0,137444.0,1929.18,2016.0,1286.0,97016.0,2017-07-25
65,11499751,5.0,3.0,2259.0,119245.0,1562.52,2016.0,3101.0,96117.0,2017-08-17
66,11603473,4.0,3.0,3588.0,142693.0,2007.31,2016.0,3101.0,96015.0,2017-07-05
67,11958628,3.0,1.0,927.0,46933.0,588.64,2016.0,3101.0,96046.0,2017-08-29
68,12118682,4.0,2.0,2121.0,74714.0,1128.2,2016.0,3101.0,96295.0,2017-08-30
69,11056104,3.0,3.0,1572.0,404060.0,4934.43,2016.0,3101.0,96369.0,2017-05-01
70,11503172,4.0,3.0,3041.0,245311.0,2963.65,2016.0,3101.0,96117.0,2017-05-01
71,11993956,3.0,2.0,1692.0,649169.0,8063.11,2016.0,3101.0,95985.0,2017-05-01
72,11054736,4.0,2.0,1611.0,89640.0,1144.73,2016.0,3101.0,96369.0,2017-05-01
73,11206210,2.0,2.0,1078.0,124006.0,2290.48,2016.0,3101.0,97328.0,2017-05-01
74,12563708,3.0,2.0,1476.0,58143.0,881.04,2016.0,3101.0,96239.0,2017-05-01
75,13857433,2.0,1.0,1387.0,280967.0,3401.88,2016.0,1286.0,96186.0,2017-05-01
76,13839883,3.0,2.0,1426.0,364081.0,4409.28,2016.0,1286.0,97003.0,2017-05-01
77,11206381,3.0,3.0,1732.0,174459.0,3028.09,2016.0,3101.0,97328.0,2017-05-01
78,12482839,4.0,2.0,1622.0,300777.0,3912.97,2016.0,3101.0,96213.0,2017-05-01
79,14054846,3.0,1.5,1122.0,199838.0,2418.9,2016.0,1286.0,96964.0,2017-05-01
80,13989370,3.0,1.5,1125.0,84341.0,1195.28,2016.0,1286.0,97023.0,2017-05-01
81,14482667,4.0,3.5,3137.0,600238.0,6131.32,2016.0,1286.0,96989.0,2017-05-01
82,14286211,5.0,2.5,2531.0,122618.0,1694.88,2016.0,1286.0,97016.0,2017-05-01
83,10924250,3.0,1.0,1448.0,352291.0,4275.09,2016.0,3101.0,96375.0,2017-05-01
84,14174538,4.0,2.0,1560.0,311209.0,3729.48,2016.0,1286.0,97043.0,2017-05-01
85,10885672,4.0,2.0,1344.0,85677.0,1104.82,2016.0,3101.0,96410.0,2017-05-01
86,12484642,3.0,1.0,1122.0,444000.0,5548.73,2016.0,3101.0,96213.0,2017-05-01
87,12739947,2.0,2.0,1445.0,529000.0,6692.25,2016.0,3101.0,96190.0,2017-05-01
88,14472456,4.0,3.5,3259.0,901542.0,8724.3,2016.0,1286.0,96996.0,2017-05-01
89,11513448,5.0,6.0,3540.0,8000000.0,83955.53,2016.0,3101.0,96109.0,2017-05-01
90,13844056,3.0,1.0,1335.0,63192.0,1049.18,2016.0,1286.0,97007.0,2017-05-01
91,14053136,4.0,2.0,1914.0,414743.0,4729.32,2016.0,1286.0,96964.0,2017-05-01
92,14175466,3.0,4.0,3324.0,709615.0,7957.48,2016.0,1286.0,97043.0,2017-05-01
93,12846559,4.0,3.0,2610.0,710674.0,8752.83,2016.0,3101.0,96492.0,2017-05-01
94,13837417,2.0,1.0,987.0,357144.0,4253.64,2016.0,1286.0,97006.0,2017-05-01
95,14280254,2.0,1.0,1114.0,524529.0,6159.04,2016.0,1286.0,96959.0,2017-05-01
96,13842033,2.0,1.0,914.0,39917.0,789.28,2016.0,1286.0,97001.0,2017-05-01
97,14056849,4.0,3.0,1976.0,468642.0,5369.16,2016.0,1286.0,96964.0,2017-05-01
98,14173678,4.0,2.5,2101.0,567655.0,6772.14,2016.0,1286.0,97035.0,2017-05-01
99,12614763,3.0,2.0,1641.0,130161.0,1666.61,2016.0,3101.0,96163.0,2017-05-01
100,11206504,3.0,3.0,2149.0,211886.0,3441.14,2016.0,3101.0,97328.0,2017-05-01
101,13894337,3.0,3.5,4511.0,5422228.0,57183.3,2016.0,1286.0,96957.0,2017-05-01
102,10827194,4.0,2.0,1576.0,82375.0,1046.08,2016.0,3101.0,96414.0,2017-05-01
103,11289836,4.0,2.0,1700.0,194600.0,3099.72,2016.0,3101.0,97318.0,2017-05-01
104,11288389,4.0,2.0,1591.0,87378.0,1964.11,2016.0,3101.0,97317.0,2017-05-01
105,11166665,3.0,2.0,1530.0,465989.0,6345.94,2016.0,3101.0,96378.0,2017-05-01
106,13935796,4.0,2.5,2019.0,75126.0,1106.88,2016.0,1286.0,97021.0,2017-05-01
107,10957128,3.0,2.0,1205.0,443008.0,4865.23,2016.0,3101.0,96437.0,2017-05-01
108,11287385,4.0,2.0,1370.0,121927.0,2231.08,2016.0,3101.0,97317.0,2017-05-01
109,17208785,5.0,7.5,6278.0,1389230.0,15101.52,2016.0,2061.0,97091.0,2017-05-01
110,14100525,2.0,1.5,1142.0,192248.0,2341.24,2016.0,1286.0,96185.0,2017-05-01
111,12792562,3.0,2.0,1692.0,240173.0,3042.5,2016.0,3101.0,96172.0,2017-05-01
112,14224435,4.0,2.0,1909.0,551273.0,6043.06,2016.0,1286.0,97063.0,2017-05-01
113,10867744,6.0,4.0,4105.0,397335.0,5138.06,2016.0,3101.0,96426.0,2017-05-01
114,13909504,3.0,3.0,2323.0,426415.0,5043.06,2016.0,1286.0,96180.0,2017-05-01
115,12462465,2.0,2.0,1766.0,203113.0,2486.26,2016.0,3101.0,96241.0,2017-05-01
116,12265744,3.0,1.0,1493.0,304000.0,5363.37,2016.0,3101.0,96092.0,2017-05-01
117,14185262,4.0,2.0,1767.0,554788.0,6299.18,2016.0,1286.0,97026.0,2017-05-01
118,11033823,3.0,1.0,1014.0,329298.0,4132.95,2016.0,3101.0,96411.0,2017-05-01
119,12460440,2.0,1.0,1268.0,309098.0,3762.96,2016.0,3101.0,96241.0,2017-05-01
120,12752649,3.0,3.0,2020.0,120877.0,1801.99,2016.0,3101.0,96190.0,2017-05-01
121,14217005,3.0,2.5,1398.0,501586.0,5128.66,2016.0,1286.0,97026.0,2017-05-01
122,13973341,3.0,1.5,1463.0,47572.0,874.76,2016.0,1286.0,97003.0,2017-05-01
123,12400532,3.0,1.0,1135.0,405844.0,4956.25,2016.0,3101.0,96100.0,2017-05-01
124,12779665,3.0,3.0,1912.0,613000.0,7620.79,2016.0,3101.0,96169.0,2017-05-01
125,11553985,2.0,2.0,1581.0,526237.0,6513.41,2016.0,3101.0,96047.0,2017-05-01
126,11016174,4.0,2.0,1545.0,529000.0,6454.32,2016.0,3101.0,96370.0,2017-05-01
127,12767272,3.0,2.0,1612.0,240155.0,3904.88,2016.0,3101.0,96479.0,2017-05-01
128,10816453,3.0,3.0,2388.0,925806.0,11212.58,2016.0,3101.0,96349.0,2017-05-01
129,13955211,4.0,2.0,1975.0,273372.0,3669.92,2016.0,1286.0,97050.0,2017-05-01
130,11281518,2.0,2.0,1317.0,86578.0,1814.04,2016.0,3101.0,97317.0,2017-05-01
131,13963357,4.0,3.5,2802.0,1074416.0,14637.34,2016.0,1286.0,96954.0,2017-05-01
132,14195073,4.0,3.0,3099.0,921394.0,10782.16,2016.0,1286.0,97078.0,2017-05-01
133,12760933,3.0,2.0,1436.0,386000.0,4926.37,2016.0,3101.0,96193.0,2017-05-01
134,12760263,2.0,1.0,927.0,61223.0,1053.05,2016.0,3101.0,96193.0,2017-05-01
135,11280307,3.0,2.0,1094.0,101143.0,1975.25,2016.0,3101.0,97317.0,2017-05-01
136,12768887,2.0,1.0,796.0,250798.0,3397.37,2016.0,3101.0,96490.0,2017-05-01
137,11298368,3.0,2.0,1502.0,105149.0,2037.28,2016.0,3101.0,97318.0,2017-05-01
138,13951150,3.0,2.0,1427.0,304588.0,3878.36,2016.0,1286.0,97051.0,2017-05-01
139,11285800,4.0,2.0,1352.0,44559.0,1320.52,2016.0,3101.0,97317.0,2017-05-01
140,13941306,2.0,1.0,952.0,792910.0,10122.52,2016.0,1286.0,96990.0,2017-05-01
141,12268626,3.0,1.0,1236.0,258887.0,3524.58,2016.0,3101.0,96040.0,2017-05-01
142,11278514,4.0,2.0,1754.0,183000.0,2883.66,2016.0,3101.0,97317.0,2017-05-01
143,11792481,2.0,1.0,981.0,430000.0,5186.7,2016.0,3101.0,96007.0,2017-05-01
144,12756670,2.0,1.0,832.0,144102.0,2039.16,2016.0,3101.0,96193.0,2017-05-01
145,17059646,3.0,1.5,1396.0,565000.0,6760.46,2016.0,2061.0,97099.0,2017-05-01
146,11201145,3.0,1.0,983.0,43506.0,1407.67,2016.0,3101.0,97328.0,2017-05-01
147,11201591,3.0,2.0,1560.0,114760.0,2263.58,2016.0,3101.0,97328.0,2017-05-01
148,13950810,4.0,2.0,1527.0,61042.0,1193.1,2016.0,1286.0,96990.0,2017-05-01
149,11013055,3.0,2.0,1703.0,302612.0,3847.18,2016.0,3101.0,96370.0,2017-05-01
150,14066648,4.0,3.5,2637.0,933713.0,10429.92,2016.0,1286.0,96966.0,2017-05-01
151,12592021,3.0,2.0,1321.0,460811.0,5789.85,2016.0,3101.0,96159.0,2017-05-01
152,11202454,4.0,2.0,2048.0,213244.0,3183.54,2016.0,3101.0,97328.0,2017-05-01
153,10969383,3.0,2.0,864.0,260056.0,3303.91,2016.0,3101.0,96368.0,2017-05-01
154,12213784,2.0,1.0,992.0,20865.0,769.33,2016.0,3101.0,95983.0,2017-05-01
155,14252582,3.0,2.5,904.0,162456.0,2079.52,2016.0,1286.0,97006.0,2017-05-01
156,11312166,3.0,2.0,1569.0,125729.0,2317.52,2016.0,3101.0,97318.0,2017-05-01
157,13867661,4.0,2.0,2044.0,81779.0,1156.38,2016.0,1286.0,97039.0,2017-05-01
158,17222974,3.0,5.5,4361.0,1562700.0,17692.72,2016.0,2061.0,97118.0,2017-05-01
159,12023868,3.0,2.0,1950.0,1218072.0,14800.5,2016.0,3101.0,96027.0,2017-05-01
160,17294157,4.0,3.0,2846.0,269273.0,3630.68,2016.0,2061.0,96384.0,2017-05-01
161,12473881,3.0,2.0,1214.0,473134.0,5888.55,2016.0,3101.0,96212.0,2017-05-01
162,12252417,3.0,1.0,1083.0,55040.0,932.45,2016.0,3101.0,96025.0,2017-05-01
163,10750812,4.0,3.0,2215.0,529990.0,6365.65,2016.0,3101.0,96337.0,2017-05-01
164,11213714,3.0,2.0,1202.0,179483.0,3339.17,2016.0,3101.0,97330.0,2017-05-01
165,17290244,4.0,2.5,2542.0,1090401.0,11660.16,2016.0,2061.0,96385.0,2017-05-01
166,12836830,3.0,2.0,1464.0,246454.0,3174.63,2016.0,3101.0,96488.0,2017-05-01
167,12480709,2.0,1.0,848.0,67166.0,1073.92,2016.0,3101.0,96212.0,2017-05-01
168,12179610,4.0,3.0,2800.0,191531.0,2317.69,2016.0,3101.0,96271.0,2017-05-01
169,11860038,5.0,3.0,2266.0,690000.0,8562.89,2016.0,3101.0,96510.0,2017-05-01
170,11270112,3.0,2.0,2020.0,222638.0,3433.82,2016.0,3101.0,97319.0,2017-05-01
171,14486421,5.0,2.5,2882.0,395169.0,3946.7,2016.0,1286.0,96996.0,2017-05-01
172,12741391,3.0,2.0,1573.0,286985.0,3843.2,2016.0,3101.0,96193.0,2017-05-01
173,11315088,3.0,2.0,1223.0,158313.0,2701.1,2016.0,3101.0,97318.0,2017-05-01
174,11646891,4.0,2.0,1904.0,1656855.0,19849.65,2016.0,3101.0,96030.0,2017-05-01
175,12082610,2.0,1.0,1104.0,44435.0,510.56,2016.0,3101.0,96324.0,2017-05-01
176,10818262,3.0,3.0,2240.0,670065.0,8868.14,2016.0,3101.0,96387.0,2017-05-01
177,12273512,2.0,1.0,699.0,176038.0,2533.45,2016.0,3101.0,96092.0,2017-05-01
178,14241975,4.0,2.0,1698.0,296484.0,3337.5,2016.0,1286.0,97067.0,2017-05-01
179,17187503,3.0,2.0,2170.0,257517.0,2846.28,2016.0,2061.0,97091.0,2017-05-01
180,12811897,1.0,1.0,490.0,124890.0,1722.75,2016.0,3101.0,96490.0,2017-05-01
181,17129832,6.0,3.0,2901.0,425115.0,4842.42,2016.0,2061.0,97091.0,2017-05-01
182,12747257,2.0,1.0,1008.0,407000.0,5246.44,2016.0,3101.0,96193.0,2017-05-01
183,17161340,6.0,2.0,2333.0,350917.0,4185.86,2016.0,2061.0,97101.0,2017-05-01
184,14503257,3.0,2.0,1120.0,504579.0,5217.8,2016.0,1286.0,96995.0,2017-05-01
185,11276186,4.0,3.0,1914.0,166190.0,2772.24,2016.0,3101.0,97317.0,2017-05-01
186,10808702,3.0,1.0,1299.0,543654.0,6679.8,2016.0,3101.0,96387.0,2017-05-01
187,13903594,4.0,3.0,2758.0,659912.0,8972.64,2016.0,1286.0,96181.0,2017-05-01
188,13977892,4.0,3.0,1972.0,629875.0,7123.64,2016.0,1286.0,96966.0,2017-05-01
189,13905056,3.0,2.0,1112.0,55304.0,877.82,2016.0,1286.0,96180.0,2017-05-01
190,14227765,4.0,2.5,1704.0,280520.0,3172.52,2016.0,1286.0,97065.0,2017-05-01
191,12464212,2.0,1.0,1680.0,856000.0,10119.9,2016.0,3101.0,96241.0,2017-05-01
192,17051583,4.0,2.0,2151.0,1234000.0,13636.8,2016.0,2061.0,97099.0,2017-05-01
193,11532991,2.0,2.0,1686.0,1395968.0,16760.44,2016.0,3101.0,96047.0,2017-05-01
194,12471532,3.0,1.0,1180.0,508000.0,6211.15,2016.0,3101.0,96212.0,2017-05-01
195,12075306,5.0,6.0,7003.0,4370651.0,47861.25,2016.0,3101.0,96271.0,2017-05-01
196,17071003,3.0,2.0,1800.0,707681.0,7398.92,2016.0,2061.0,97083.0,2017-05-01
197,13981009,5.0,3.0,2897.0,234513.0,2735.12,2016.0,1286.0,96978.0,2017-05-01
198,12817483,4.0,2.0,1898.0,501583.0,5874.19,2016.0,3101.0,96489.0,2017-05-01
199,12745547,3.0,1.0,883.0,116280.0,1871.05,2016.0,3101.0,96193.0,2017-05-01
200,11867912,2.0,1.0,1200.0,85317.0,1283.89,2016.0,3101.0,96531.0,2017-05-01
201,14237264,3.0,1.0,1201.0,56144.0,853.6,2016.0,1286.0,97065.0,2017-05-01
202,11966821,2.0,1.0,800.0,480000.0,5836.52,2016.0,3101.0,96023.0,2017-05-01
203,12190349,2.0,1.0,990.0,132080.0,1706.86,2016.0,3101.0,96025.0,2017-05-01
204,12273036,2.0,1.0,913.0,30223.0,878.45,2016.0,3101.0,96092.0,2017-05-01
205,11039885,3.0,2.0,1229.0,390912.0,4801.85,2016.0,3101.0,96371.0,2017-05-01
206,14501072,3.0,2.5,2461.0,753315.0,7367.22,2016.0,1286.0,96996.0,2017-05-01
207,11338161,4.0,4.0,3413.0,390000.0,4871.99,2016.0,3101.0,97319.0,2017-05-01
208,17083283,3.0,2.5,2568.0,742000.0,7801.04,2016.0,2061.0,97083.0,2017-05-01
209,12936527,3.0,3.0,1810.0,550000.0,6759.28,2016.0,3101.0,96524.0,2017-05-01
210,14089501,4.0,2.0,2020.0,296740.0,3761.44,2016.0,1286.0,96990.0,2017-05-01
211,14451614,2.0,1.0,1303.0,433607.0,5185.28,2016.0,1286.0,96982.0,2017-05-01
212,12380487,2.0,2.0,1386.0,57936.0,1288.57,2016.0,3101.0,96192.0,2017-05-01
213,14156920,5.0,4.5,3835.0,723980.0,10720.04,2016.0,1286.0,97037.0,2017-05-01
214,11263345,3.0,2.0,1407.0,51307.0,1240.09,2016.0,3101.0,97319.0,2017-05-01
215,13000325,3.0,3.0,1817.0,438372.0,6426.23,2016.0,3101.0,96478.0,2017-05-01
216,12124453,4.0,1.0,1170.0,40423.0,790.24,2016.0,3101.0,96295.0,2017-05-01
217,17172225,3.0,1.0,999.0,816420.0,9203.32,2016.0,2061.0,97106.0,2017-05-01
218,14336636,4.0,4.5,4254.0,1618814.0,17882.32,2016.0,1286.0,97005.0,2017-05-01
219,12896685,3.0,2.0,1511.0,424568.0,5064.2,2016.0,3101.0,96494.0,2017-05-01
220,14336696,6.0,5.5,5400.0,2317561.0,25593.0,2016.0,1286.0,97005.0,2017-05-01
221,14421501,3.0,3.5,5019.0,1245366.0,13267.26,2016.0,1286.0,96987.0,2017-05-01
222,11185483,7.0,3.0,3130.0,326341.0,5021.35,2016.0,3101.0,97329.0,2017-05-01
223,17193599,3.0,4.0,3735.0,974032.0,10689.72,2016.0,2061.0,96351.0,2017-05-01
224,13003913,3.0,2.0,1100.0,255693.0,4000.43,2016.0,3101.0,96480.0,2017-05-01
225,11073063,5.0,4.0,2590.0,446951.0,5509.97,2016.0,3101.0,96370.0,2017-05-01
226,11248913,3.0,2.0,1346.0,97327.0,1253.91,2016.0,3101.0,97318.0,2017-05-01
227,13049078,4.0,3.0,2274.0,261538.0,3403.26,2016.0,3101.0,96494.0,2017-05-01
228,12900424,3.0,2.0,1402.0,43233.0,811.99,2016.0,3101.0,96494.0,2017-05-01
229,11946092,2.0,2.0,1895.0,542048.0,6534.81,2016.0,3101.0,96020.0,2017-05-01
230,11857848,4.0,3.0,2468.0,685323.0,8212.36,2016.0,3101.0,96510.0,2017-05-01
231,11787436,0.0,1.0,740.0,188000.0,2399.69,2016.0,3101.0,95993.0,2017-05-01
232,11108685,4.0,2.0,2263.0,294410.0,4220.2,2016.0,3101.0,96373.0,2017-05-01
233,14376663,3.0,2.0,2149.0,74741.0,716.7,2016.0,1286.0,96962.0,2017-05-01
234,10846097,3.0,2.0,1736.0,88794.0,1135.51,2016.0,3101.0,96410.0,2017-05-01
235,12717246,4.0,2.0,1744.0,258581.0,3590.79,2016.0,3101.0,96201.0,2017-05-01
236,11001320,3.0,2.0,1380.0,194007.0,2360.45,2016.0,3101.0,96284.0,2017-05-01
237,12998502,3.0,2.0,1613.0,613000.0,8058.98,2016.0,3101.0,96517.0,2017-05-01
238,11678883,4.0,3.0,2547.0,239615.0,3942.91,2016.0,3101.0,96116.0,2017-05-01
239,14089018,3.0,2.0,1353.0,862962.0,9817.3,2016.0,1286.0,96225.0,2017-05-01
240,14389080,4.0,4.0,4561.0,1752796.0,18079.16,2016.0,1286.0,96971.0,2017-05-01
241,14044737,4.0,2.0,1606.0,848826.0,9582.38,2016.0,1286.0,96964.0,2017-05-01
242,14000922,4.0,2.0,1633.0,565666.0,7128.16,2016.0,1286.0,97052.0,2017-05-01
243,12413736,4.0,3.0,1934.0,737000.0,8338.72,2016.0,3101.0,96206.0,2017-05-01
244,14388331,4.0,2.5,1940.0,569544.0,5849.98,2016.0,1286.0,96971.0,2017-05-01
245,12731216,4.0,2.0,1994.0,549236.0,6871.02,2016.0,3101.0,96190.0,2017-05-01
246,11381373,3.0,1.0,1196.0,198127.0,2404.92,2016.0,3101.0,97318.0,2017-05-01
247,14342313,4.0,3.5,2737.0,943202.0,11951.56,2016.0,1286.0,96939.0,2017-05-01
248,14156172,3.0,2.5,2059.0,583935.0,7485.98,2016.0,1286.0,97035.0,2017-05-01
249,11757342,5.0,3.0,2626.0,92317.0,1292.36,2016.0,3101.0,95986.0,2017-05-01
250,11667870,4.0,2.0,1972.0,1707368.0,20585.62,2016.0,3101.0,96120.0,2017-05-01
251,12889363,2.0,2.0,913.0,133025.0,1823.27,2016.0,3101.0,96508.0,2017-05-01
252,11391305,3.0,1.0,1275.0,219653.0,3992.8,2016.0,3101.0,96024.0,2017-05-01
253,11392193,0.0,0.0,2276.0,101792.0,1609.95,2016.0,3101.0,96024.0,2017-05-01
254,12504131,2.0,1.0,942.0,326191.0,4022.66,2016.0,3101.0,96240.0,2017-05-01
255,12504405,2.0,1.0,836.0,295437.0,3645.14,2016.0,3101.0,96240.0,2017-05-01
256,11667272,3.0,3.0,2047.0,1863960.0,22539.45,2016.0,3101.0,96120.0,2017-05-01
257,14455986,3.0,2.0,1680.0,540921.0,5492.46,2016.0,1286.0,96996.0,2017-05-01
258,12313206,2.0,1.0,874.0,281385.0,3723.41,2016.0,3101.0,96125.0,2017-05-01
259,11203683,3.0,2.0,1359.0,130843.0,2441.08,2016.0,3101.0,97328.0,2017-05-01
260,12720469,3.0,2.0,1333.0,387238.0,5001.41,2016.0,3101.0,96193.0,2017-05-01
261,11663691,6.0,6.0,4135.0,4318177.0,51753.48,2016.0,3101.0,96120.0,2017-05-01
262,17113418,3.0,2.0,1240.0,455000.0,4792.36,2016.0,2061.0,97084.0,2017-05-01
263,11427902,2.0,2.0,1291.0,71419.0,1437.55,2016.0,3101.0,96028.0,2017-05-01
264,10850922,4.0,2.0,1533.0,654836.0,7942.88,2016.0,3101.0,96349.0,2017-05-01
265,12908998,4.0,3.0,2238.0,325341.0,4095.32,2016.0,3101.0,96513.0,2017-05-01
266,13022762,4.0,2.0,1100.0,395000.0,4887.85,2016.0,3101.0,96464.0,2017-05-01
267,11237179,3.0,3.0,2225.0,242000.0,5015.6,2016.0,3101.0,97328.0,2017-05-01
268,13034824,4.0,2.0,1567.0,515000.0,6200.92,2016.0,3101.0,96485.0,2017-05-01
269,12518552,3.0,2.0,1687.0,468104.0,5694.22,2016.0,3101.0,96247.0,2017-05-01
270,14145168,4.0,2.0,1861.0,725000.0,8124.14,2016.0,1286.0,97043.0,2017-05-01
271,17153405,3.0,4.0,3337.0,796324.0,14394.62,2016.0,2061.0,97106.0,2017-05-01
